"";"cab3";"q4";"q120_11";"q120_12";"q120_13";"q120_14";"q120_15";"q120_16";"q120_17";"q120_18";"q120_19";"q120_21";"q120_22";"q120_23";"q120_24";"q120_25";"q120_26";"q120_27";"q120_28";"q120_29";"q120_31";"q120_32";"q120_33";"q120_34";"q120_35";"q120_36";"q120_37";"q120_38";"q120_39";"q120_41";"q120_42";"q120_43";"q120_44";"q120_45";"q120_46";"q120_47";"q120_48";"q120_49";"q120_51";"q120_52";"q120_53";"q120_54";"q120_55";"q120_56";"q120_57";"q120_58";"q120_59";"q120_61";"q120_62";"q120_63";"q120_64";"q120_65";"q120_66";"q120_67";"q120_68";"q120_69";"chance_nova_ocorrencia";"q119_1";"q119_2";"q119_3";"q119_4";"sexo";"renda";"renda_casa";"area_risco";"maior_intrucao";"n_enchentes";"maior_instrucao";"viz"
"418";193;"Jardim Vera Cruz";1;4;5;5;2;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;5;5;5;5;5;4;5;5;3;3;5;5;5;5;5;5;5;3;1;5;1;5;5;1;5;5;5;5;2;1;1;0;4;0;"media";30
"419";194;"Jardim Vera Cruz";5;1;5;3;1;5;2;5;1;5;5;5;1;2;5;4;5;1;5;5;5;5;1;5;3;5;1;1;1;1;1;5;5;5;5;5;4;5;1;1;1;5;2;5;5;1;1;1;5;1;5;5;5;1;1;5;1;1;1;1;5;5;0;2;0;"baixa";30
"420";238;"Jardim Vera Cruz";3;1;3;3;3;3;3;1;5;5;5;5;1;1;1;1;1;5;5;5;5;1;4;1;5;1;1;5;5;5;1;5;1;1;5;1;2;2;1;3;5;5;5;5;1;1;5;5;4;4;3;3;3;2;1;5;5;5;5;2;5;5;0;4;0;"media";30
"421";239;"Jardim Vera Cruz";1;1;1;3;1;1;1;1;1;5;5;5;1;1;1;1;5;5;5;5;5;3;5;5;3;5;3;5;5;5;1;2;1;1;5;3;1;3;1;5;5;5;5;5;1;5;5;3;5;3;3;3;1;3;2;2;5;1;5;1;5;5;0;4;0;"media";30
"422";240;"Jardim Vera Cruz";1;1;1;1;1;1;1;5;5;5;5;5;1;1;1;1;5;5;5;5;5;1;1;1;1;5;5;5;5;1;1;1;5;1;5;5;1;1;1;5;5;5;1;5;1;5;5;5;3;1;1;1;5;5;1;5;5;5;5;1;4;4;0;3;0;"media";30
"423";493;"Jardim Vera Cruz";5;5;5;5;1;5;1;5;5;5;5;5;1;1;1;1;5;5;5;5;5;1;1;5;4;5;5;5;5;5;1;1;5;3;5;5;5;5;5;2;1;5;5;5;5;5;5;5;5;5;5;4;5;5;1;5;5;5;5;2;4;4;0;3;0;"media";30
"424";494;"Jardim Vera Cruz";1;5;4;5;5;5;5;5;5;5;5;5;1;1;1;1;1;5;5;5;5;1;1;1;1;1;5;5;5;5;1;1;1;1;1;5;1;1;1;5;5;5;5;5;5;5;1;5;5;5;1;3;5;5;1;5;5;5;5;2;3;3;0;4;0;"media";30
"425";829;"Jardim Vera Cruz";1;1;1;4;5;5;4;5;1;5;1;4;1;1;1;1;1;5;5;5;5;4;1;4;1;1;5;5;5;5;5;5;5;4;5;5;1;1;1;5;5;5;5;5;1;4;5;5;5;1;5;1;5;1;1;5;5;5;5;2;5;5;0;3;0;"media";30
"426";830;"Jardim Vera Cruz";1;1;1;1;1;1;1;1;1;5;5;5;3;3;3;3;5;5;5;5;5;3;3;3;3;3;5;5;5;1;1;1;5;1;5;5;3;3;3;3;3;3;3;5;3;5;5;3;3;1;1;4;1;1;1;5;5;5;5;2;4;4;0;4;0;"media";30
"427";408;"JK 1";3;1;2;5;2;2;2;2;1;2;2;1;1;3;2;1;1;2;3;1;4;1;3;3;3;4;1;3;3;3;2;4;3;3;4;2;2;2;1;3;4;5;3;5;1;1;2;3;4;3;3;3;3;2;1;1;2;1;2;1;5;5;1;4;0;"media";31
"428";409;"JK 1";1;1;1;1;1;1;1;1;1;3;5;5;1;1;1;3;1;1;5;5;3;1;1;1;1;1;1;5;5;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;1;5;5;5;5;3;3;3;1;1;2;4;4;1;1;2;4;4;0;4;0;"media";31
"429";419;"JK 1";3;2;5;1;3;4;3;3;4;5;4;3;3;2;3;5;4;4;5;4;4;3;2;5;3;3;4;4;5;3;2;4;3;4;5;4;2;2;4;3;3;4;4;5;4;5;4;5;3;3;4;4;5;4;5;4;5;3;4;1;1;1;1;2;8;"baixa";31
"430";422;"JK 1";5;2;3;5;1;5;1;4;4;5;5;5;5;3;4;1;5;4;4;4;5;4;5;5;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;4;5;1;4;5;2;2;4;2;5;5;0;3;3;"media";31
"431";468;"JK 1";1;1;1;2;2;2;3;2;1;5;5;4;1;5;5;3;5;3;5;5;1;1;5;5;2;5;5;5;5;1;1;5;5;2;5;5;1;1;1;3;3;3;3;3;1;1;1;1;3;3;5;3;3;1;5;1;4;1;1;1;6;6;1;5;4;"alta";31
"432";668;"JK 1";5;1;3;4;3;4;4;5;3;5;4;1;1;3;5;3;4;5;4;5;1;1;2;2;5;3;4;5;5;1;1;5;4;2;2;5;4;4;3;5;5;5;4;5;4;5;4;5;5;2;3;5;3;4;5;4;4;1;1;2;1;1;1;2;1;"baixa";31
"433";687;"JK 1";1;1;5;3;2;2;3;1;2;5;5;1;1;1;3;3;3;5;5;5;4;1;3;4;4;2;2;4;3;4;1;2;1;1;5;5;2;2;5;4;5;5;3;5;4;3;5;5;5;1;1;3;2;4;5;5;5;4;1;1;5;5;1;2;2;"baixa";31
"434";688;"JK 1";5;1;4;4;2;3;3;4;5;4;3;1;1;2;2;1;1;5;4;3;5;1;2;1;3;3;5;5;4;5;1;4;3;1;1;4;2;1;4;5;5;5;3;4;1;5;4;5;4;3;1;1;2;2;1;5;1;4;5;2;5;5;1;4;0;"media";31
"435";411;"JK 2";4;2;2;4;2;2;4;4;3;4;4;1;2;1;2;1;1;5;5;4;3;1;1;1;2;3;5;4;5;4;1;2;3;1;4;4;1;1;5;5;4;5;5;5;1;5;4;5;5;2;2;4;2;4;1;5;1;1;2;1;1;1;1;4;2;"media";32
"436";418;"JK 2";5;1;3;3;3;1;1;1;4;5;5;1;1;2;1;1;3;5;4;4;3;1;1;1;1;1;4;5;5;2;1;3;1;1;3;5;3;3;1;2;4;5;3;3;2;4;5;5;4;1;1;2;1;3;2;5;4;1;5;1;8;8;1;5;0;"alta";32
"437";465;"JK 2";2;3;3;3;3;3;3;3;5;4;3;3;3;2;2;3;2;5;3;3;2;1;3;3;2;3;1;4;4;4;2;5;4;3;4;5;1;1;1;2;1;3;3;3;1;1;4;4;4;3;2;3;4;3;2;2;5;1;4;2;1;1;1;3;1;"media";32
"438";469;"JK 2";4;4;4;2;3;3;1;3;2;5;5;5;1;2;2;3;3;5;5;5;1;3;3;2;2;3;5;5;5;1;1;5;5;3;5;5;1;1;1;3;3;4;3;3;1;2;2;5;3;2;2;2;3;3;2;4;4;4;4;2;1;1;1;5;0;"alta";32
"439";410;"JK 3";2;1;3;3;3;2;2;2;2;5;3;1;1;1;1;1;2;5;5;5;1;1;2;1;2;2;4;5;5;2;1;1;1;1;4;5;2;1;5;4;5;5;5;4;1;3;5;4;5;2;2;4;2;5;5;5;5;4;5;1;7;7;1;5;8;"alta";33
"440";420;"JK 3";5;3;5;4;5;5;5;5;2;5;5;5;5;5;5;5;5;1;5;5;1;5;5;5;5;5;1;1;1;1;5;5;5;5;5;1;5;5;1;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;5;5;5;4;5;2;2;2;1;4;3;"media";33
"441";594;"JK 3";5;2;5;5;2;3;3;5;1;5;5;5;1;1;1;1;5;5;5;5;1;1;2;1;1;1;1;5;5;4;1;1;1;1;4;1;1;1;1;5;3;5;5;5;1;1;4;4;5;5;5;5;5;5;2;5;5;5;2;2;1;1;1;4;4;"media";33
"442";2221;"Kenedy";1;1;5;5;5;5;1;5;1;5;5;1;1;1;1;1;1;5;1;1;5;1;1;1;1;5;1;5;5;5;5;5;5;1;5;5;1;1;5;5;5;5;1;5;1;1;5;5;5;5;5;5;5;1;1;5;5;5;5;2;4;4;0;3;1;"media";34
"443";2222;"Kenedy";5;1;5;1;5;5;5;5;1;5;5;1;1;1;1;1;1;1;5;5;5;1;1;1;5;5;5;5;5;1;1;5;5;1;5;5;1;1;5;5;5;5;1;5;1;5;5;5;5;3;5;1;5;5;1;5;5;5;5;1;1;1;0;4;0;"media";34
"444";2223;"Kenedy";1;1;5;1;1;1;1;1;1;5;5;1;1;1;1;1;1;5;5;1;1;1;1;1;1;1;5;5;5;5;1;5;5;1;5;5;1;1;1;5;1;1;1;5;1;1;1;1;5;1;1;5;5;5;1;4;4;4;4;2;1;1;0;4;0;"media";34
"445";2230;"Kenedy";1;1;5;5;1;1;1;1;1;5;1;5;1;1;1;5;5;5;1;1;5;1;1;1;1;1;1;5;1;5;5;1;1;5;5;5;1;1;5;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;5;5;5;5;2;1;1;0;3;0;"media";34
"446";2231;"Kenedy";5;1;5;1;5;5;1;1;1;5;1;5;1;1;1;1;1;5;1;1;5;1;1;1;1;1;1;5;1;5;1;5;5;1;5;1;1;1;5;5;5;5;1;5;5;1;1;5;5;1;5;5;1;1;1;5;5;5;5;1;5;5;0;2;0;"baixa";34
"447";2232;"Kenedy";5;1;5;5;5;5;1;5;5;5;5;5;1;5;5;1;5;1;5;5;5;1;5;5;1;5;1;5;5;5;5;5;5;1;5;5;1;1;5;5;5;5;1;5;1;1;5;5;5;5;5;1;5;1;1;5;5;5;5;2;1;1;0;4;1;"media";34
"448";2233;"Kenedy";5;1;5;5;5;5;1;5;5;5;1;5;1;1;1;1;1;5;1;1;5;1;1;1;1;5;1;5;5;5;1;5;5;1;5;5;1;5;5;5;5;5;1;5;1;1;5;5;5;5;5;5;5;5;1;5;5;5;5;2;6;6;0;4;0;"media";34
"449";2234;"Kenedy";5;1;5;5;5;5;1;5;5;5;1;5;1;1;1;1;1;5;5;5;5;1;5;5;1;5;1;5;5;5;4;5;5;1;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;1;6;6;0;4;0;"media";34
"450";753;"Lagoa Santa";1;1;5;1;1;1;1;1;1;5;5;5;1;2;2;1;5;1;5;5;5;3;3;2;2;2;1;5;4;5;1;2;1;1;5;1;3;3;1;3;3;1;3;2;1;5;5;5;5;3;1;2;1;1;1;1;5;5;4;2;5;5;0;3;0;"media";35
"451";755;"Lagoa Santa";5;1;1;1;1;1;2;1;1;5;5;1;1;1;1;2;1;1;5;5;1;2;2;1;2;1;1;5;5;1;1;1;1;1;1;1;5;5;1;1;1;3;1;1;1;1;5;5;5;1;1;1;1;1;1;1;1;2;5;1;5;5;0;4;0;"media";35
"452";757;"Lagoa Santa";5;1;5;1;1;1;1;1;1;5;5;1;1;1;1;1;1;1;5;5;1;1;3;1;1;1;1;5;5;5;1;3;1;2;3;1;3;1;1;3;3;3;3;1;1;5;5;5;3;3;3;4;1;3;1;5;5;5;5;1;1;1;0;4;0;"media";35
"453";203;"Lourdes";1;1;1;1;1;1;1;1;1;5;5;5;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;1;1;1;1;1;1;1;1;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;4;4;4;2;5;5;0;5;0;"alta";36
"454";204;"Lourdes";1;1;1;1;1;1;1;1;1;5;4;2;1;1;3;1;2;1;1;1;1;1;1;1;1;1;1;3;3;2;1;1;1;1;1;1;1;1;1;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;1;5;5;0;5;0;"alta";36
