"";"cab3";"q4";"q120_11";"q120_12";"q120_13";"q120_14";"q120_15";"q120_16";"q120_17";"q120_18";"q120_19";"q120_21";"q120_22";"q120_23";"q120_24";"q120_25";"q120_26";"q120_27";"q120_28";"q120_29";"q120_31";"q120_32";"q120_33";"q120_34";"q120_35";"q120_36";"q120_37";"q120_38";"q120_39";"q120_41";"q120_42";"q120_43";"q120_44";"q120_45";"q120_46";"q120_47";"q120_48";"q120_49";"q120_51";"q120_52";"q120_53";"q120_54";"q120_55";"q120_56";"q120_57";"q120_58";"q120_59";"q120_61";"q120_62";"q120_63";"q120_64";"q120_65";"q120_66";"q120_67";"q120_68";"q120_69";"chance_nova_ocorrencia";"q119_1";"q119_2";"q119_3";"q119_4";"sexo";"renda";"renda_casa";"area_risco";"maior_intrucao";"n_enchentes";"maior_instrucao";"viz"
"578";817;"Novo Vila Bretas";3;1;3;3;3;3;3;3;1;3;3;1;1;1;3;3;1;1;3;1;1;1;1;1;3;1;1;5;5;3;1;3;3;3;3;1;3;3;3;5;5;5;5;5;1;1;5;3;5;3;5;3;3;1;1;5;5;5;5;2;1;1;0;3;0;"media";46
"579";818;"Novo Vila Bretas";5;2;5;5;5;2;3;3;1;5;2;2;2;4;2;2;2;1;5;1;1;1;3;3;3;1;1;5;5;1;1;3;3;3;3;1;3;2;2;5;5;5;5;5;1;1;5;3;5;3;5;3;3;1;1;5;5;5;5;2;5;5;0;4;0;"media";46
"580";819;"Novo Vila Bretas";5;5;5;5;5;4;4;4;2;4;4;3;3;1;2;2;2;2;4;4;4;3;5;2;2;1;1;4;4;2;1;4;4;4;4;1;3;3;3;5;3;3;3;3;1;2;2;2;5;2;2;2;2;2;1;4;5;5;5;1;5;5;0;1;0;"baixa";46
"581";820;"Novo Vila Bretas";5;1;5;5;5;3;3;3;1;5;3;3;3;3;3;1;1;1;5;1;1;1;3;3;3;1;1;5;5;3;1;3;3;3;3;1;3;3;1;5;5;5;5;5;1;1;5;3;5;3;5;5;1;1;1;5;5;5;5;2;1;1;0;3;0;"media";46
"582";822;"Novo Vila Bretas";5;1;5;5;5;3;2;3;1;5;3;2;2;3;3;1;1;1;5;1;2;1;3;3;1;3;1;5;5;2;1;3;3;3;5;1;3;3;2;5;5;5;5;5;1;1;5;3;5;3;5;5;3;1;1;4;4;4;4;2;5;5;0;3;0;"media";46
"583";876;"Novo Vila Bretas";5;2;5;5;5;4;1;1;1;5;3;3;3;3;3;1;1;1;5;1;1;1;3;3;1;3;1;5;5;3;1;3;3;5;5;1;2;2;2;5;5;5;5;5;1;1;4;4;4;4;4;3;3;1;1;5;5;5;5;1;5;5;0;4;0;"media";46
"584";1017;"Novo Vila Bretas";5;1;5;5;3;3;3;3;1;5;3;3;3;3;3;3;1;1;5;1;1;1;3;3;1;3;1;5;5;1;1;3;3;3;5;1;3;3;3;5;5;5;5;5;1;1;5;3;5;3;5;5;3;1;1;5;5;5;5;2;1;1;0;4;0;"media";46
"585";2087;"Novo Vila Bretas";3;3;3;1;1;5;5;3;1;3;3;3;5;3;5;3;3;1;5;3;3;5;2;2;2;1;1;5;1;5;3;3;5;1;1;1;2;2;2;3;5;5;1;1;1;4;3;3;3;3;5;5;1;1;1;4;4;4;4;2;4;4;0;4;0;"media";46
"586";2088;"Novo Vila Bretas";5;2;2;5;2;2;2;2;1;4;3;3;5;5;3;4;2;1;5;3;3;3;5;5;3;2;1;5;1;5;1;3;3;3;3;1;1;1;1;5;3;3;5;5;1;5;4;4;4;1;3;3;3;1;1;5;5;5;5;1;5;5;0;4;0;"media";46
"587";2089;"Novo Vila Bretas";4;3;3;5;4;4;4;3;1;5;2;2;4;4;4;2;2;1;5;3;3;3;5;3;2;2;1;5;1;5;1;5;1;5;5;1;1;1;2;5;5;5;3;3;1;5;5;1;5;5;3;3;3;1;1;5;5;5;5;2;1;1;0;4;0;"media";46
"588";2090;"Novo Vila Bretas";3;3;5;3;5;3;3;1;5;3;3;5;3;3;3;3;3;1;5;3;3;5;3;3;5;5;1;5;1;5;1;3;1;5;5;1;1;1;1;5;5;5;3;3;1;5;5;5;5;3;5;3;3;1;1;5;5;5;5;2;1;1;0;4;0;"media";46
"589";2093;"Novo Vila Bretas";5;1;5;5;5;2;1;2;1;5;2;2;2;2;2;1;1;1;5;1;3;1;3;3;1;3;1;5;5;2;1;3;3;3;5;1;3;3;1;5;5;5;5;5;1;1;5;3;5;3;5;5;2;1;1;5;5;5;5;2;1;1;0;4;0;"media";46
"590";2094;"Novo Vila Bretas";3;1;3;3;3;3;3;2;1;3;2;2;2;1;1;1;1;1;3;1;1;1;1;3;3;2;1;5;5;2;1;3;3;3;3;1;2;2;5;5;5;5;5;5;1;1;5;5;5;3;3;3;5;1;1;5;5;5;5;1;5;5;0;4;0;"media";46
"591";2095;"Novo Vila Bretas";4;2;4;4;5;3;2;3;1;4;3;2;2;3;3;1;1;1;5;2;2;2;3;3;1;3;1;4;5;2;1;3;3;3;5;1;2;2;2;5;5;5;5;5;1;2;5;2;5;2;5;5;3;1;1;5;5;5;5;2;5;5;0;4;0;"media";46
"592";2096;"Novo Vila Bretas";5;1;5;5;5;1;1;1;1;5;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;5;5;3;1;3;3;3;3;1;3;3;3;5;5;5;5;5;1;1;5;5;5;5;5;5;5;1;4;4;4;4;4;1;5;5;0;4;0;"media";46
"593";2097;"Novo Vila Bretas";5;1;5;5;5;5;2;2;1;5;3;2;2;2;2;1;1;1;5;1;1;1;1;1;1;1;1;5;5;3;1;3;3;3;5;1;2;2;2;5;5;5;5;5;1;1;5;3;5;3;5;3;3;1;1;1;1;1;1;1;5;5;0;4;1;"media";46
"594";701;"Palmeiras";5;5;4;4;2;1;3;2;4;4;5;5;3;1;2;1;3;4;4;5;5;2;1;1;2;3;4;4;5;5;1;2;2;1;3;4;5;5;3;2;4;3;3;3;4;5;5;5;1;1;2;3;2;4;1;3;2;3;2;1;6;6;0;4;0;"media";47
"595";702;"Palmeiras";5;1;5;3;2;1;1;1;4;1;1;2;3;4;4;3;3;2;1;1;2;2;3;5;3;4;1;1;1;1;3;3;5;4;4;2;5;5;4;4;3;2;3;2;5;5;5;5;5;2;1;1;2;4;1;5;4;3;2;1;5;5;0;2;0;"baixa";47
"596";727;"Palmeiras";5;3;5;1;1;2;3;2;5;5;4;5;2;3;1;1;3;5;5;4;5;2;2;2;1;2;5;5;4;5;2;3;1;1;3;5;5;5;5;2;3;3;3;3;5;5;5;5;2;3;2;3;1;5;1;1;2;3;4;2;4;4;0;2;0;"baixa";47
"597";729;"Palmeiras";1;1;2;4;5;4;5;3;2;5;3;5;1;1;2;1;2;4;5;3;5;2;1;2;2;3;5;5;2;5;1;1;2;1;3;4;5;5;5;2;3;2;1;2;4;5;5;5;3;2;1;2;1;5;1;3;3;3;3;1;5;5;0;3;0;"media";47
"598";803;"Palmeiras";1;1;2;3;4;3;3;4;2;5;4;5;2;3;4;1;2;5;5;5;5;1;2;4;1;3;5;5;4;5;2;2;4;1;3;5;1;1;2;3;4;4;5;4;2;5;4;5;2;1;2;1;2;4;1;4;3;4;3;2;4;4;0;2;0;"baixa";47
"599";804;"Palmeiras";1;1;3;4;5;4;5;4;1;5;3;5;3;2;2;3;3;5;5;3;4;2;1;2;2;3;4;5;3;4;1;3;2;1;3;5;1;1;2;4;5;4;4;5;1;5;5;5;4;1;2;3;2;5;1;4;4;4;4;2;4;4;0;2;0;"baixa";47
"600";805;"Palmeiras";1;2;2;4;3;4;5;5;1;1;1;2;3;3;3;4;5;1;1;2;2;3;3;4;4;5;1;1;2;2;3;3;3;4;5;1;1;2;2;5;5;5;5;5;1;1;2;2;5;4;4;5;5;1;1;2;2;2;2;2;1;1;0;4;0;"media";47
"601";806;"Palmeiras";1;1;1;4;4;5;3;4;1;5;4;5;1;2;1;2;3;5;4;3;4;2;2;1;2;2;5;4;4;5;1;2;2;2;2;5;1;1;1;5;5;5;4;5;2;1;1;2;5;4;4;3;4;1;1;4;5;4;5;1;5;5;0;2;0;"baixa";47
"602";807;"Palmeiras";1;1;1;4;5;5;3;4;2;5;4;5;2;1;1;2;1;4;4;4;5;1;1;2;1;1;5;4;4;5;1;1;1;1;2;4;1;1;2;3;4;5;4;5;2;2;3;1;3;5;5;5;4;2;1;4;4;4;4;2;2;2;0;3;1;"media";47
"603";808;"Palmeiras";2;1;2;4;5;4;5;3;2;5;5;5;2;1;2;1;2;5;5;4;5;1;2;2;1;3;5;5;4;5;1;1;2;1;3;5;1;1;1;5;4;5;5;5;2;2;2;3;4;4;5;4;3;2;1;5;5;5;5;2;1;1;0;3;0;"media";47
"604";831;"Palmeiras";1;4;3;4;2;2;1;5;3;3;2;2;3;3;4;4;5;2;2;2;2;1;3;3;3;4;3;3;1;3;2;1;2;2;3;2;3;4;4;5;5;3;1;5;4;4;2;1;3;2;2;3;5;4;1;4;4;4;4;2;1;1;0;2;0;"baixa";47
"605";832;"Palmeiras";5;4;4;3;2;1;1;1;5;4;4;4;2;1;2;1;2;5;5;4;4;1;2;2;1;2;5;4;4;4;2;1;2;1;2;5;5;4;4;3;2;3;2;2;5;4;4;4;3;2;3;1;2;5;1;5;5;5;5;2;1;1;0;3;0;"media";47
"606";854;"Palmeiras";1;1;2;4;5;4;5;4;1;5;4;5;1;2;2;2;1;5;5;5;5;2;3;2;1;1;5;4;5;1;2;3;1;1;5;2;1;1;5;5;4;5;4;1;1;2;1;4;5;4;5;5;2;2;1;5;5;5;5;2;5;5;0;2;1;"baixa";47
"607";855;"Palmeiras";4;3;4;2;1;2;1;2;4;3;4;5;1;2;1;3;1;4;3;4;5;1;3;2;2;1;5;4;3;4;2;2;1;1;2;4;4;3;5;2;3;2;1;1;5;3;4;5;2;3;2;1;2;5;1;3;4;3;4;2;5;5;0;4;0;"media";47
"608";857;"Palmeiras";1;1;1;4;4;5;5;5;1;5;4;5;2;1;1;2;3;5;5;5;5;1;1;1;3;3;5;5;5;5;1;1;1;3;3;5;1;2;1;4;5;5;5;5;2;5;5;5;1;1;1;2;3;5;1;3;3;3;3;2;2;2;0;3;1;"media";47
"609";644;"Penha";4;4;4;3;3;3;2;3;3;5;5;5;1;1;1;2;5;5;5;5;5;4;4;4;2;4;5;5;5;5;1;1;1;1;5;5;3;3;3;5;5;5;2;5;2;5;5;5;5;5;5;2;1;2;1;1;1;1;1;2;1;1;0;2;0;"baixa";48
"610";2063;"Penha";2;1;5;5;3;2;1;1;5;5;5;5;1;2;2;2;5;5;5;5;5;5;5;1;1;1;5;5;5;5;2;1;1;2;5;5;3;3;5;5;4;5;1;5;5;5;5;5;5;5;5;1;5;5;1;2;2;2;2;2;4;4;0;3;2;"media";48
"611";2064;"Penha";3;3;5;4;4;2;1;3;4;5;5;5;1;2;2;1;5;5;5;5;5;3;4;4;2;5;5;5;5;5;1;1;1;1;5;5;4;4;4;5;5;5;3;5;3;5;5;5;4;4;5;2;5;2;5;5;5;5;5;1;4;4;0;1;1;"baixa";48
"612";357;"Planalto";1;1;2;3;2;3;5;1;2;2;1;2;3;4;3;3;5;3;1;2;3;2;4;3;4;3;2;4;5;4;3;5;3;2;4;5;1;2;1;3;5;5;5;4;2;5;5;4;4;3;2;4;1;5;1;5;3;2;4;1;4;4;0;4;0;"media";49
"613";361;"Planalto";2;1;2;3;2;3;4;4;1;5;5;4;1;3;4;1;1;5;4;1;5;1;4;3;1;2;4;3;4;2;4;5;5;4;5;4;1;1;2;5;5;5;4;5;1;4;5;5;5;4;3;4;3;5;1;5;4;4;5;2;3;3;0;3;3;"media";49
"614";599;"Planalto";5;1;5;3;2;3;3;1;1;5;5;4;1;3;2;3;2;3;4;3;3;2;3;2;1;5;4;4;1;5;2;1;2;3;1;5;3;1;2;3;5;2;3;4;2;3;1;1;3;2;3;1;1;5;1;1;3;2;5;2;3;3;0;3;0;"media";49
"615";662;"Planalto";5;1;5;3;2;1;1;1;5;4;5;5;2;3;2;1;1;5;4;5;5;2;2;1;2;1;5;4;5;5;2;3;1;2;1;5;4;5;5;3;3;2;2;2;5;4;5;5;3;3;2;2;2;5;1;5;4;2;2;1;4;4;0;4;0;"media";49
"616";664;"Planalto";2;1;2;3;4;5;3;4;1;2;2;1;2;3;4;3;3;2;2;2;1;2;3;4;3;3;2;2;2;2;2;3;4;3;3;1;2;2;2;3;5;5;4;5;2;2;2;2;3;4;5;4;5;2;1;3;3;3;3;1;1;1;0;4;0;"media";49
"617";665;"Planalto";1;1;2;3;3;4;5;4;1;2;1;2;2;3;4;3;3;1;2;1;2;2;2;4;4;3;1;3;2;3;1;3;3;5;4;3;5;5;4;3;2;1;2;1;5;5;4;5;3;2;1;1;2;5;1;4;4;4;4;1;4;4;0;4;0;"media";49
"618";695;"Planalto";5;4;3;4;3;2;3;4;2;5;4;5;2;3;3;2;5;3;4;3;4;1;2;2;3;1;5;5;2;3;3;3;2;4;2;5;3;2;1;5;4;5;5;5;4;5;4;5;5;3;5;4;3;5;1;5;4;4;5;2;5;5;0;3;0;"media";49
"619";696;"Planalto";1;1;3;3;4;2;3;2;2;2;4;4;3;3;2;3;5;4;4;5;3;1;2;3;2;3;5;5;4;5;4;5;5;4;5;5;1;2;3;4;5;3;5;5;2;5;4;4;3;4;2;5;3;3;1;5;4;5;5;2;4;4;0;3;0;"media";49
"620";697;"Planalto";3;1;5;3;5;4;3;4;2;5;5;4;2;3;2;5;5;4;5;4;5;1;3;2;3;2;5;4;3;3;1;3;2;2;1;4;3;4;5;4;5;3;5;4;5;5;5;3;5;2;3;2;3;4;1;5;4;5;5;2;3;3;0;2;0;"baixa";49
"621";698;"Planalto";4;2;4;3;5;3;3;4;3;4;5;5;3;2;3;4;4;3;4;3;4;2;4;1;4;3;5;3;4;4;1;3;2;1;1;4;2;3;5;3;4;2;5;3;3;5;4;3;4;2;4;2;4;5;1;5;5;3;4;1;3;3;0;2;1;"baixa";49
"622";796;"Planalto";5;5;4;4;3;3;4;3;3;4;4;2;3;4;3;4;4;4;4;4;3;3;4;4;3;4;5;5;2;3;3;4;3;5;3;4;4;3;2;5;5;5;5;4;3;5;3;4;4;3;4;3;3;5;1;4;3;2;5;2;4;4;0;1;0;"baixa";49
"623";993;"Planalto";1;1;2;3;5;3;4;3;1;3;4;4;2;3;2;3;2;5;4;3;4;3;4;2;1;3;4;4;2;4;3;3;5;1;5;5;1;1;2;5;5;4;5;5;2;3;4;5;5;3;2;3;1;5;1;5;3;3;5;1;6;6;0;3;0;"media";49
"624";994;"Planalto";1;3;5;3;5;2;5;3;5;5;5;2;3;5;3;5;5;5;5;5;3;3;5;5;3;5;4;4;3;3;4;3;3;4;4;3;1;1;3;3;5;3;5;5;5;5;5;5;3;3;3;5;5;5;1;5;5;5;5;2;5;5;0;4;2;"media";49
"625";996;"Planalto";5;1;5;3;5;5;4;4;5;5;5;5;2;3;5;4;3;5;5;1;5;4;4;5;3;5;5;4;1;5;4;5;5;3;5;5;5;5;1;5;5;5;4;5;1;5;5;3;4;3;3;5;3;5;1;5;4;3;5;1;4;4;0;2;0;"baixa";49
"626";2174;"Redencao";1;5;1;5;1;1;1;5;5;5;1;1;5;5;1;5;5;5;5;1;1;3;3;1;3;5;5;5;1;1;1;1;3;1;5;5;1;3;1;5;5;5;5;5;1;5;5;3;5;5;5;5;3;5;5;5;5;5;5;2;5;5;0;4;1;"media";50
"627";2182;"Ribeirao do Onca";3;1;5;1;5;1;1;1;5;5;3;1;1;3;3;1;5;5;3;5;1;1;3;3;1;5;5;5;1;1;1;1;3;1;5;3;1;3;1;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;1;5;5;5;5;1;5;5;0;2;0;"baixa";51
"628";2175;"Sagrada Familia";5;5;5;1;3;1;1;1;5;5;5;1;1;3;3;1;5;5;3;5;1;1;3;3;1;3;5;5;1;1;1;1;3;1;5;3;1;3;1;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;1;5;5;5;5;2;1;1;0;4;0;"media";52
"629";2179;"Sagrada Familia";5;1;5;1;3;1;1;1;5;5;5;1;1;3;3;1;5;5;3;5;1;1;3;3;1;3;5;5;1;1;1;1;3;1;5;3;1;3;1;5;5;5;5;5;1;5;5;5;5;5;5;4;5;1;1;5;5;5;5;2;1;1;0;4;0;"media";52
"630";2180;"Sagrada Familia";3;1;3;1;3;1;1;1;5;5;3;1;1;3;3;1;5;5;3;5;1;1;5;3;1;3;5;5;1;1;1;1;3;1;5;3;1;3;1;5;3;5;5;5;1;5;5;5;5;3;5;5;5;1;1;5;5;5;5;1;1;1;0;5;0;"alta";52
"631";316;"Santa Helena";4;3;5;3;2;2;4;2;2;5;5;5;3;2;3;3;3;3;5;3;5;3;3;3;3;3;3;5;2;5;3;3;3;3;3;3;5;3;5;2;2;1;1;2;3;5;4;5;3;3;3;3;3;3;1;1;1;1;1;2;4;4;0;4;0;"media";53
"632";388;"Santa Helena";1;1;2;5;1;2;2;2;1;5;5;5;1;3;3;3;4;5;5;5;5;2;4;4;4;2;5;5;5;5;2;4;4;4;5;5;1;1;2;5;3;3;3;2;1;3;5;5;5;2;2;3;2;3;1;1;2;1;1;1;5;5;0;5;0;"alta";53
"633";402;"Santa Helena";3;3;3;4;3;3;3;2;2;5;5;5;2;5;3;3;4;5;2;2;3;2;4;3;3;2;2;4;4;4;2;4;4;3;4;5;3;3;4;4;3;4;3;3;1;4;4;5;5;2;3;5;1;3;1;4;4;4;4;1;5;5;0;2;0;"baixa";53
"634";403;"Santa Helena";2;2;2;5;3;2;4;2;1;5;5;5;1;3;3;3;4;5;1;1;1;1;4;2;3;1;1;5;5;5;1;4;4;3;5;5;2;3;2;5;3;4;4;3;1;4;4;4;5;3;3;3;2;5;1;4;4;4;4;1;5;5;0;4;0;"media";53
"635";412;"Santa Helena";5;2;3;3;3;3;5;1;2;5;2;3;2;3;3;3;2;2;4;2;3;3;3;4;3;3;3;4;1;3;3;4;4;4;4;2;3;2;3;3;3;4;4;3;1;3;3;3;3;3;4;3;4;1;1;5;5;5;5;1;4;4;0;3;0;"media";53
"636";413;"Santa Helena";5;4;5;4;3;3;3;3;4;5;5;3;4;3;3;4;4;3;5;5;3;4;3;3;4;4;3;5;5;3;4;3;3;3;3;3;1;1;1;2;2;3;4;4;4;5;5;3;3;3;4;3;4;3;1;4;4;4;2;1;1;1;0;4;0;"media";53
"637";424;"Santa Helena";4;4;4;3;3;3;2;3;3;4;5;3;3;2;4;4;3;3;4;5;2;3;2;3;4;3;2;4;5;2;2;2;3;4;3;1;1;1;1;5;3;3;3;3;2;4;4;3;4;3;3;2;2;2;1;5;4;4;4;1;6;6;0;4;0;"media";53
"638";425;"Santa Helena";3;4;3;3;4;4;3;3;2;4;4;3;3;4;4;4;3;4;3;3;3;3;4;4;4;3;3;3;3;3;3;4;3;4;3;4;1;1;1;1;1;1;1;1;1;1;3;3;4;3;3;3;3;2;1;4;4;3;3;2;6;6;0;4;0;"media";53
"639";435;"Santa Helena";2;1;1;5;1;1;3;2;1;5;5;5;1;5;5;4;4;5;1;1;2;2;2;4;3;2;1;5;5;5;5;5;5;5;4;5;4;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;1;1;1;1;1;1;2;1;1;0;4;1;"media";53
"640";436;"Santa Helena";2;1;1;1;5;1;2;2;1;3;3;3;3;3;3;3;3;3;1;1;1;1;2;1;1;1;1;3;4;4;1;1;2;1;5;5;4;4;2;4;3;5;5;5;2;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;5;5;0;2;0;"baixa";53
"641";441;"Santa Helena";2;2;4;4;3;3;3;3;1;4;4;4;1;4;3;3;5;5;1;1;2;2;3;3;3;2;3;4;4;4;2;3;3;3;3;5;3;3;2;5;4;4;3;5;2;4;4;4;4;5;3;4;3;4;1;5;5;5;5;2;4;4;0;4;0;"media";53
"642";442;"Santa Helena";1;1;1;3;1;1;2;1;1;5;5;5;1;4;3;3;4;5;1;1;1;1;4;3;1;1;1;5;5;5;1;3;5;2;5;5;1;3;1;1;5;1;1;4;1;3;3;3;5;1;3;3;1;4;1;2;2;2;2;1;6;6;0;2;0;"baixa";53
"643";446;"Santa Helena";4;3;1;4;1;3;4;4;3;4;2;4;4;2;4;4;3;3;4;4;2;4;2;2;2;1;3;5;3;4;4;2;3;3;3;3;4;2;3;4;2;2;2;3;3;5;1;1;4;3;3;3;2;3;1;1;4;4;4;2;3;3;0;2;0;"baixa";53
"644";447;"Santa Helena";3;3;3;2;1;4;5;1;3;2;4;4;3;4;4;5;2;2;3;4;2;3;4;1;5;3;1;2;2;2;3;4;1;5;2;1;3;4;1;3;4;1;5;1;1;3;1;1;1;1;1;5;3;1;1;4;4;2;4;2;1;1;0;1;0;"baixa";53
"645";448;"Santa Helena";4;3;3;4;3;2;3;2;3;4;2;3;4;3;2;2;2;3;4;3;3;4;3;2;2;2;3;5;3;3;2;2;3;3;3;3;5;3;3;4;3;2;2;2;3;3;3;3;4;3;2;1;2;1;1;5;5;5;5;2;3;3;0;2;0;"baixa";53
"646";449;"Santa Helena";1;2;2;2;2;2;2;2;1;4;4;4;1;3;3;4;3;3;3;3;3;3;3;2;3;2;3;4;2;3;2;3;4;3;2;4;1;1;1;1;3;3;1;2;1;3;2;2;2;2;2;2;2;2;1;4;4;4;4;2;1;1;0;4;3;"media";53
"647";450;"Santa Helena";3;1;1;1;3;1;3;3;1;4;4;4;4;4;4;4;4;4;3;4;3;4;3;3;4;2;3;4;3;4;2;4;4;3;4;3;2;1;2;2;1;2;2;1;1;2;4;4;2;2;2;2;2;1;1;5;5;5;5;2;4;4;1;4;0;"media";53
"648";451;"Santa Helena";4;2;3;4;4;4;4;4;4;4;4;5;5;2;5;5;5;5;1;1;1;1;1;1;5;2;1;5;5;5;5;5;5;5;5;5;5;5;3;5;4;5;3;5;4;1;1;3;3;3;3;3;3;1;1;1;1;1;1;2;5;5;0;2;0;"baixa";53
"649";452;"Santa Helena";3;2;2;5;3;3;3;2;2;4;5;3;3;5;4;4;5;5;4;4;4;3;3;4;4;2;3;4;4;4;3;5;4;4;5;5;1;1;1;4;1;2;2;2;2;3;2;4;5;3;2;3;2;4;1;4;4;4;4;2;1;1;0;4;0;"media";53
"650";453;"Santa Helena";3;1;1;4;3;3;3;2;1;5;4;4;2;5;4;3;4;4;4;3;4;2;3;3;3;3;3;5;4;4;2;5;4;3;4;4;2;2;2;4;2;2;2;2;1;3;3;4;4;2;2;3;2;3;1;4;4;4;4;1;5;5;0;2;0;"baixa";53
"651";454;"Santa Helena";3;3;3;3;5;4;3;3;2;4;4;4;4;3;4;3;3;3;4;4;3;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;4;3;4;3;3;3;2;1;1;4;4;4;4;1;5;5;0;5;0;"alta";53
"652";455;"Santa Helena";3;3;2;5;3;3;3;3;3;5;5;5;1;5;5;5;5;5;2;2;3;3;3;3;3;3;3;4;4;4;3;4;3;3;4;5;3;4;3;5;3;3;3;4;2;4;4;4;5;3;3;3;3;4;1;2;2;2;2;2;4;4;0;4;1;"media";53
"653";460;"Santa Helena";4;2;4;3;2;2;3;3;3;5;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;4;4;3;3;4;3;3;3;3;3;2;3;2;3;3;3;2;4;3;4;3;1;2;3;3;1;1;5;1;4;4;1;5;5;0;3;0;"media";53
"654";462;"Santa Helena";5;4;2;1;2;1;3;2;2;5;4;2;1;2;2;3;1;4;5;4;1;1;2;2;3;2;2;5;4;2;1;2;1;1;1;4;5;4;2;1;2;2;2;1;2;5;4;2;1;1;1;3;1;2;1;1;1;1;1;2;4;4;0;3;0;"media";53
"655";463;"Santa Helena";5;1;2;4;4;3;4;1;3;5;5;4;3;4;3;4;4;3;5;4;4;4;3;4;4;2;2;5;4;4;4;3;2;3;4;2;2;2;2;2;2;2;2;2;2;5;4;3;5;3;2;2;2;2;1;5;5;5;5;1;5;5;0;5;0;"alta";53
"656";464;"Santa Helena";3;1;1;3;2;1;1;2;1;4;4;4;2;1;2;1;2;2;4;4;1;3;2;1;2;3;1;4;2;2;3;2;2;1;2;3;3;3;4;3;2;2;3;3;3;2;2;1;1;2;1;1;1;1;1;2;2;4;4;2;1;1;0;4;0;"media";53
"657";466;"Santa Helena";3;1;2;3;2;3;4;3;3;2;4;2;2;2;3;3;3;3;5;4;2;2;2;2;3;3;3;5;4;2;3;2;3;3;3;3;5;4;2;3;2;3;4;3;3;5;4;2;3;2;3;2;3;3;1;1;1;1;1;2;1;1;0;2;0;"baixa";53
"658";587;"Santa Helena";2;2;2;4;2;2;2;2;2;5;5;5;1;5;5;5;5;5;2;2;2;1;2;2;2;2;2;5;5;5;5;2;5;5;5;5;3;4;2;5;4;4;4;5;3;4;4;4;4;4;4;4;4;4;1;4;4;4;4;2;5;5;0;4;0;"media";53
"659";588;"Santa Helena";3;1;1;5;2;3;4;1;1;4;4;4;4;4;4;4;4;4;3;1;2;3;3;2;2;2;3;4;4;4;2;3;3;2;1;4;2;2;2;2;2;2;2;2;1;4;1;4;4;5;1;1;1;1;1;4;4;4;4;2;5;5;0;4;0;"media";53
"660";589;"Santa Helena";1;1;2;5;4;2;1;1;1;4;4;4;1;3;3;3;4;5;1;1;2;1;3;2;3;3;1;3;3;3;1;3;4;4;4;5;1;1;1;4;1;1;1;1;1;5;5;3;5;1;1;1;1;1;1;2;2;2;2;1;1;1;0;4;0;"media";53
"661";692;"Santa Helena";1;3;1;2;3;3;3;4;3;1;3;3;2;3;2;2;2;3;5;2;2;2;2;3;3;2;3;5;3;1;2;3;3;3;1;2;5;2;3;2;2;2;2;2;3;1;1;1;2;3;3;3;2;2;1;5;1;1;1;2;1;1;0;5;0;"alta";53
"662";693;"Santa Helena";5;3;2;3;3;2;3;2;1;5;3;2;3;3;2;2;1;2;5;3;1;3;3;3;2;2;2;5;3;1;1;1;1;1;1;2;5;3;2;1;2;1;1;2;1;5;3;1;2;2;1;1;1;1;1;1;1;1;1;2;5;5;0;4;0;"media";53
"663";694;"Santa Helena";5;4;4;2;2;2;2;2;2;5;4;4;2;2;2;2;2;2;5;4;4;2;2;2;2;2;2;5;4;4;2;3;3;3;3;3;5;4;4;2;1;3;3;1;1;5;4;4;2;2;2;1;3;1;1;1;1;1;1;1;4;4;0;2;1;"baixa";53
"664";789;"Santa Helena";4;1;1;4;2;2;2;1;1;3;3;2;2;5;3;2;1;1;5;2;2;2;2;2;2;1;1;4;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;4;2;1;5;5;3;2;2;1;1;1;1;5;1;2;5;2;1;1;0;4;0;"media";53
"665";790;"Santa Helena";4;3;4;5;2;4;2;5;4;4;3;5;2;4;4;3;5;4;3;4;3;4;4;5;4;5;4;5;4;3;2;1;4;3;4;4;2;3;4;5;5;5;4;4;3;4;4;1;4;2;3;3;1;3;1;2;1;1;5;2;5;5;0;4;0;"media";53
"666";792;"Santa Helena";1;5;3;2;3;2;2;3;3;5;2;3;3;3;3;3;2;2;3;1;2;5;2;5;1;1;1;5;5;5;5;5;5;5;5;1;1;5;2;5;5;5;1;1;1;5;5;2;5;5;1;1;1;5;1;2;1;5;5;1;1;1;0;4;0;"media";53
"667";794;"Santa Helena";5;2;2;2;2;2;2;2;3;5;5;3;1;3;3;1;2;5;5;2;4;1;2;2;3;2;2;5;2;3;3;3;3;3;1;3;3;2;2;1;2;3;4;2;2;5;1;1;1;2;3;1;1;4;1;5;5;5;5;2;5;5;0;4;0;"media";53
